surname	firstname	twostephash	uid
Endres	 Miss. Caroline Louise	{707585, 1508357, 15367, 577544, 332297, 319498, 1049619, 1114645, 306710, 178715, 99870, 88097, 1974818, 679462, 1672233, 1700397, 1743406, 1357359, 236592, 291380, 392246, 1031737, 293434, 1198651, 335937, 417346, 1628227, 1137220, 1687619, 1847874, 1016903, 632398, 515664, 1620048, 1637973, 1739862, 1304151, 1746518, 1884761, 423002, 1124955, 597084, 782434, 1432163, 1140838, 721522, 730739, 951411, 1392755, 1488511, 323721, 126090, 346761, 1034891, 891021, 1216141, 1335949, 624272, 892560, 1973386, 1492641, 1252003, 1581733, 436391, 1703080, 429225, 1953959, 1839275, 382971, 588974, 1645233, 138930, 1790133, 1078969, 1310907, 1128636, 1241278, 489663, 1940673, 58562, 658125, 710349, 500431, 1960141, 1777362, 820947, 964311, 1170649, 599770, 1058012, 353501, 1026784, 1609953, 1150691, 1631460, 1429734, 875244, 316142, 152815, 442096, 1393398, 976635, 1019131, 375041, 1535745, 23300, 824070, 24839, 310024, 1213705, 1225991, 1341194, 525071, 608529, 1762580, 481557, 1134870, 157466, 643868, 1443100, 29472, 462114, 1711399, 1787180, 433966, 98095, 602934, 1731385, 604475, 567102, 1729343, 299841, 264008, 1743177, 1806664, 1874248, 1485644, 1442126, 729941, 185688, 508248, 1501528, 1560414, 1117023, 849760, 533346, 1343337, 1589609, 157547, 82286, 752495, 1244019, 281460, 808821, 111478, 1122678, 1273207, 1290617, 1408888, 1087360, 456579, 1951619, 282501, 859017, 244622, 181137, 494489, 834971, 1572763, 1096097, 1345957, 1597869, 294831, 551343, 1372079, 1523122, 2002352, 709557, 270774, 438710, 887742, 1426879, 1461186, 513987, 620995, 772548, 1009605, 1286086, 41932, 328652, 1337293, 28112, 53200, 1585105, 259541, 768982, 1917404, 463838, 907743, 1281504, 1543649, 21989, 667623, 1313769, 150507, 37367, 1959417, 1519099}	716
Samaan	 Mr. Youssef	{755203, 1493509, 15367, 1750539, 1527824, 390163, 586774, 1545246, 551463, 729640, 878633, 1790509, 1801271, 2023995, 430651, 963134, 1847874, 1628227, 1530951, 1766473, 1951306, 644684, 899660, 788050, 229461, 861270, 1110103, 1637973, 423002, 1432668, 1096797, 464995, 496238, 829552, 254067, 32383, 285824, 198790, 505994, 1034891, 1984651, 1229969, 1740434, 1827990, 1431703, 1509528, 39072, 1953959, 906920, 1090739, 1128636, 489663, 169673, 1726666, 1745099, 1918154, 411854, 1613009, 1568469, 233178, 1195228, 1279712, 34532, 120036, 402152, 1302249, 1391859, 404213, 2011895, 861944, 1348346, 218366, 375041, 1535745, 1519366, 976647, 1225991, 1762580, 157466, 544539, 1454367, 1443618, 468771, 1711399, 329001, 1787180, 1550125, 1671475, 739124, 577338, 1398590, 512319, 441664, 299841, 1989954, 2023244, 943444, 280927, 792927, 1117023, 533346, 1727330, 1730917, 867176, 26474, 528747, 1345390, 752495, 1464184, 1059706, 749435, 1480061, 456579, 282501, 1937797, 244622, 1580431, 181137, 123292, 1565091, 170413, 438710, 933303, 1693115, 104386, 762310, 1174983, 998350, 28112, 1892304, 916444, 463838, 851934, 1256414, 775656, 331755, 1244654, 1436147, 1704948, 1959417, 1487355, 313854}	48
Maisner	 Mr. Simon	{599050, 996362, 147980, 1308176, 1049619, 1499156, 586774, 1098279, 1646656, 417346, 976965, 515150, 634446, 788050, 1867858, 1746518, 1740376, 1884761, 550502, 1732712, 496238, 829552, 223859, 114804, 441462, 1644666, 1857659, 106109, 1571972, 957063, 323721, 505994, 1413769, 1335949, 1229969, 679059, 1374870, 1535643, 1791134, 1581733, 510633, 548521, 1839275, 573101, 364729, 1310907, 1150652, 2042558, 2035905, 1983174, 1278153, 1918154, 30926, 479443, 732371, 1568469, 233178, 2009820, 1609953, 1302249, 152815, 754, 404213, 1296629, 1841914, 1438973, 1563906, 24839, 310024, 1213705, 1245449, 1119499, 502541, 943891, 936732, 567582, 1443618, 1147173, 1351461, 1538854, 343848, 572207, 884527, 1671475, 805173, 886073, 260412, 245055, 555328, 728386, 927554, 1626952, 1877328, 1787217, 1390421, 1478486, 327004, 200031, 752495, 1490293, 859516, 507773, 372613, 1580431, 1070992, 2040719, 865694, 920478, 1597869, 121269, 1693115, 1426879, 1461186, 1174983, 984009, 1812429, 1734108, 1256414, 323040, 721378, 775656, 450027, 1550315, 276463, 1704948, 774133}	464
Drew	 Mrs. James Vivian (Lulu Thorne Christian)	{1097217, 1729538, 1294337, 144388, 763908, 98310, 608262, 61448, 1722375, 1978889, 2035209, 1415181, 364559, 304659, 397331, 1024533, 1049619, 1345557, 1675795, 409626, 1998875, 1545246, 1158176, 88097, 425505, 1043491, 1822241, 202277, 1437221, 1672233, 916522, 620587, 1492010, 1700397, 966190, 689711, 277040, 1088559, 1336879, 1749553, 1354292, 21557, 1061433, 242746, 69179, 2023995, 178243, 619587, 1661508, 843338, 474187, 1518668, 417358, 1162830, 43088, 821840, 1887826, 1981519, 1746518, 2021975, 960088, 1884761, 1432668, 547421, 1505377, 1907297, 268399, 829552, 2001007, 721522, 1651, 730739, 1167986, 644728, 1275006, 32383, 1453696, 205954, 327813, 1091718, 957063, 323721, 212106, 1740937, 1973386, 891021, 1216141, 1527950, 1984651, 1229969, 1323666, 514195, 969363, 58517, 1395859, 1315991, 1731223, 1816726, 795290, 437919, 39072, 1027233, 1379489, 1560738, 727717, 1852581, 1839275, 165548, 346289, 1790133, 868022, 208567, 1942199, 1078969, 59584, 1856193, 598212, 1477828, 864458, 1780939, 991948, 1551052, 1960141, 113359, 1710799, 1613009, 1734353, 433875, 1831123, 1031893, 1170649, 599770, 1224414, 142048, 1260768, 1065698, 1271009, 1609953, 1041637, 1429734, 867047, 2015969, 478954, 1944810, 152815, 806128, 2031344, 1579762, 482547, 1348346, 1019131, 1795323, 218366, 780543, 1698046, 375041, 1535745, 617732, 1581828, 24839, 310024, 665353, 1030409, 625419, 1213705, 1341708, 1506573, 1644297, 2008850, 288019, 1596182, 1607958, 27929, 193818, 226074, 643868, 678687, 1047329, 1475361, 384292, 1093934, 1671475, 739124, 557365, 1719605, 1448247, 245055, 786752, 574273, 1382207, 1626952, 1743177, 973132, 819535, 194385, 551249, 157012, 632150, 1005398, 1867608, 703833, 394586, 789849, 249180, 1418591, 849760, 1727330, 1258855, 1970023, 1343337, 1589609, 507243, 139115, 157547, 4974, 1082223, 1254251, 1785707, 683890, 980340, 477557, 1921399, 544634, 1953660, 507773, 282493, 104319, 522111, 669566, 1737086, 907651, 1397635, 1937797, 2020226, 2032006, 436616, 909192, 386956, 1087884, 1717645, 2040719, 91028, 1635732, 1232278, 169879, 1895828, 526233, 94618, 833953, 1307554, 880547, 1011114, 267691, 1931695, 2017715, 709557, 994229, 93623, 933303, 1693115, 887742, 382399, 1383359, 816577, 1225665, 1426879, 772548, 1009605, 130502, 1461186, 1682375, 1027017, 1679822, 603089, 744402, 1073107, 458709, 348125, 1256414, 905696, 1149409, 1768931, 667623, 775656, 1923562, 150507, 504300, 331755, 441326, 901116, 1769968, 87027, 1704948, 1000438, 1331196, 1334269, 313854}	416
Wells	 Miss. Joan	{61448, 332297, 364559, 1527824, 1049619, 306710, 551960, 749085, 679462, 1121324, 1700397, 1743406, 1801775, 442423, 2023995, 1198651, 1090626, 1628227, 1847874, 383047, 644684, 632398, 1620048, 1739862, 960088, 1884761, 597084, 1432668, 845412, 1140838, 951411, 304757, 1215607, 787079, 323721, 624272, 1671314, 1509528, 39072, 1580707, 1953959, 1703080, 246456, 1128636, 489663, 745673, 1960141, 1170649, 850649, 459998, 1041637, 440557, 259310, 1247471, 1814773, 1346294, 1112315, 218366, 151300, 1581828, 24839, 1313544, 1213705, 1125644, 1341708, 525071, 1134870, 157466, 329001, 465195, 739124, 1731385, 604475, 957244, 1729343, 264008, 802120, 772426, 1806664, 1875795, 1005398, 185688, 540505, 514907, 1263453, 1907038, 1117023, 263008, 1058144, 865122, 1343337, 1098602, 157547, 1664873, 1469296, 1151857, 808821, 1290617, 1937797, 1466777, 509345, 244135, 99755, 294831, 223674, 1426879, 107458, 1461186, 822727, 1177037, 463838, 1281504, 1376226, 21989, 1388006, 667623, 1099243, 1488878, 1493999, 1110517, 1751544, 1959417, 1519099}	750
Goodwin	 Master. Sidney Leonard	{144388, 577544, 319498, 996362, 147980, 235022, 1894417, 151060, 120341, 586774, 1024533, 1114645, 1765399, 1808918, 1167388, 1533984, 781349, 963621, 1109030, 729640, 1357359, 1749553, 1220664, 69179, 335937, 417346, 1054785, 1137220, 976965, 1651270, 807495, 1957453, 134734, 515150, 515664, 1686608, 313942, 1746518, 1402456, 1756248, 984156, 602206, 474208, 354401, 398433, 969312, 1559140, 550502, 1501802, 496238, 1261168, 1804402, 114291, 114804, 223859, 310390, 1953399, 441462, 730739, 493690, 1514109, 106109, 1697410, 1091718, 957063, 1353862, 1413769, 126090, 505994, 1335949, 634510, 322194, 1106578, 1277588, 1643668, 1739416, 549531, 1948323, 510633, 1839275, 211116, 573101, 1908909, 16560, 523954, 1150652, 2042558, 1940673, 58562, 2035905, 1238212, 1199301, 230086, 1726666, 1918154, 1598669, 500431, 948946, 433875, 1601748, 1568469, 233178, 2009820, 117981, 1119966, 1180897, 1609953, 34532, 1302249, 1281258, 1900782, 152815, 2014450, 404213, 2011895, 1965817, 1438973, 1563906, 1245449, 625419, 1735948, 1635600, 691473, 943891, 1572116, 1771283, 522007, 1206040, 1097498, 447259, 61724, 567582, 591647, 29472, 676639, 462114, 1443618, 1147173, 343848, 1717035, 1787180, 497966, 572207, 1497394, 805173, 260412, 245055, 359743, 1494335, 927554, 1398085, 1539401, 864076, 1433933, 1442126, 1170769, 1209171, 1478486, 974679, 121176, 1492823, 1676120, 1816921, 2017115, 1297245, 200031, 670560, 792927, 799072, 1070945, 1526623, 1730917, 687463, 1797993, 477034, 528747, 762735, 326513, 914293, 1488759, 1921399, 839033, 859516, 507773, 1390978, 1951619, 372613, 1323917, 2040719, 91028, 834971, 1678235, 672670, 865694, 294305, 639396, 637863, 269224, 243114, 54187, 1029036, 1597869, 1741231, 368560, 1610673, 2017715, 337846, 789433, 623547, 540608, 393158, 1174983, 1286086, 984009, 1973703, 934347, 1162188, 1812429, 1892304, 520155, 1379297, 1550315, 1758700, 339950, 83953, 1553905, 503290, 425983}	386
Rothes	 the Countess. of (Lucy Noel Martha Dyer-Edwards)	{763908, 1601541, 1626120, 1161227, 550924, 1415181, 1765399, 155676, 88097, 1185825, 1980452, 1949733, 442423, 1548345, 882748, 335937, 325715, 602206, 782434, 868450, 1159274, 1392755, 772213, 493690, 1091718, 1353862, 505994, 891021, 829584, 1671314, 321690, 880798, 1953959, 616618, 753840, 1128636, 489663, 2035905, 508101, 96455, 1960141, 872655, 1831123, 1167580, 952545, 1483016, 1607958, 1728790, 74017, 207151, 1497394, 805173, 260412, 475458, 1442126, 266578, 559450, 1313118, 1458531, 1730917, 1929584, 256372, 1122678, 1921399, 1290617, 1737086, 1087884, 1261965, 655767, 1255832, 1565091, 1716645, 324012, 2017715, 438710, 905696, 1044964, 975337, 678381, 1081839, 1612289, 1620488, 346633, 309776, 1024533, 1114645, 811556, 1077797, 922150, 1192492, 1700397, 221743, 1749553, 1854005, 1198651, 1559105, 1847874, 1350212, 270927, 1839705, 547421, 258655, 875104, 1432163, 1536611, 528998, 1501802, 391789, 223859, 1573495, 512641, 815745, 1106578, 47771, 998045, 1647268, 727717, 762539, 1645233, 1508018, 1721010, 1235647, 1188548, 320200, 654030, 500431, 850649, 623326, 1903327, 142048, 1065698, 172779, 316142, 404213, 1393402, 514823, 625419, 1002251, 1817363, 226074, 676639, 1047329, 1340196, 140076, 1090349, 297783, 1729343, 299841, 680775, 1643336, 2016073, 1450834, 1561430, 1676120, 2034520, 1117023, 752495, 1059706, 1074043, 2020226, 181137, 2042769, 1213331, 1504150, 279450, 1678235, 441244, 1895329, 160681, 1029036, 1770416, 832434, 1141684, 709557, 1383359, 580547, 1280964, 797641, 1268688, 1821648, 1627090, 992220, 463838, 144358, 994280, 1500136, 150507, 416749, 1594352, 1000438, 1995769, 996362, 2040858, 1545246, 1719336, 236592, 537651, 21557, 1150009, 619587, 1446988, 570454, 861270, 597084, 984156, 234591, 1240159, 1307743, 1926253, 1109110, 105599, 672902, 54409, 107660, 216204, 1330321, 1494161, 1074331, 85148, 1379489, 1201315, 554162, 650429, 971969, 58562, 1477828, 961737, 1412300, 834772, 1170649, 306394, 2028764, 263405, 589039, 1019131, 1225991, 1033486, 1635600, 838932, 253214, 1398054, 1711399, 19762, 1535297, 703833, 789849, 1918322, 15740, 1326463, 1228187, 1588635, 1103283, 1902004, 910776, 1910202, 1455553, 824772, 497142, 1908216, 1959417, 1519099, 1025534, 1189379, 1406485, 1472021, 1437221, 1435181, 93743, 689711, 1998389, 980536, 69179, 560710, 134734, 1637973, 360040, 472687, 1003124, 1953399, 968323, 1273480, 435852, 845455, 523954, 710349, 1351373, 1568469, 599770, 1224414, 204511, 126690, 1302249, 460532, 1965817, 1697530, 81662, 976647, 401173, 1453850, 1814303, 327466, 481069, 433966, 272184, 567102, 444225, 927554, 1867589, 1498951, 2027337, 1343306, 757580, 864076, 778066, 1617758, 1070945, 1591142, 477034, 139115, 157547, 1785707, 808821, 669566, 1687423, 456579, 1951619, 6027, 491403, 1163166, 784290, 1107875, 264108, 733101, 1372079, 585669, 393158, 1009605, 1210317, 1812429, 1873876, 1347542, 520155, 1939420, 565215, 667623, 718823, 1488878, 1521659, 1417212}	759
Barber	" Miss. Ellen ""Nellie"""	{269313, 98310, 379910, 332297, 996362, 235022, 164370, 1049619, 1114645, 306710, 1164312, 1147928, 231961, 749085, 679462, 1700397, 1743406, 548403, 392246, 442423, 335937, 417346, 651329, 1628227, 839749, 1687619, 1847874, 1287755, 520782, 1620048, 1071185, 1308241, 1739862, 1746518, 1402456, 1839705, 1884761, 1124955, 597084, 602206, 1421408, 845412, 223859, 730739, 951411, 1125512, 323721, 126090, 1413769, 1335949, 1509528, 330396, 664737, 676513, 1581733, 1953959, 1039528, 429225, 1839275, 1231532, 364729, 1446077, 2042558, 489663, 2035905, 58562, 1128132, 745673, 112330, 1960141, 30926, 500431, 1925331, 1601748, 1556180, 486102, 1103575, 850649, 1170649, 1609953, 38627, 1631460, 1992942, 152815, 1247471, 1871089, 1296629, 751350, 1393398, 435960, 1738997, 1814773, 1524482, 824070, 24839, 310024, 1213705, 1313544, 166155, 982796, 1341708, 525071, 1750799, 608529, 1513234, 1134870, 1032473, 157466, 1559322, 936732, 1587490, 169765, 276776, 900393, 216874, 465195, 1757480, 433966, 1767729, 805173, 886073, 1731385, 604475, 260412, 1729343, 786752, 781633, 927554, 264008, 802120, 1806664, 1851208, 1442126, 1151311, 1816921, 1253724, 1117023, 1058144, 1526623, 293730, 1343337, 1345390, 1469296, 808821, 696696, 1290617, 507773, 1951619, 1336708, 535950, 362390, 718743, 723350, 834971, 1572763, 920478, 1547686, 243114, 21419, 1145259, 294831, 551343, 179633, 121269, 123829, 337846, 1439669, 1426879, 540608, 1461186, 772548, 1626054, 530892, 1812429, 74705, 1281491, 768982, 1410524, 463838, 773598, 1311712, 1543649, 667623, 729066, 450027, 476654, 1488878, 1349616, 1553905, 1235447, 1959417, 1519099, 1569277}	290
Dantcheff	 Mr. Ristiu	{144388, 98310, 1198091, 1161227, 1527824, 1049619, 1024533, 586774, 1592863, 1158176, 811042, 729640, 1778732, 1407025, 1392690, 1749553, 1548345, 1282105, 69179, 1003579, 2023995, 1661508, 1766473, 873034, 435276, 644684, 1162830, 788050, 229461, 570454, 2021975, 1402456, 668249, 1740376, 1884761, 1432668, 234591, 1907297, 967267, 360040, 1412713, 1280621, 829552, 1263732, 874614, 271479, 963710, 285824, 198790, 1091718, 1273480, 323721, 883344, 1229969, 1704080, 1395859, 389268, 252569, 1987227, 39072, 1379489, 1581733, 165548, 522929, 868022, 635065, 1856193, 540869, 1895622, 1918662, 864458, 1081035, 1745099, 233178, 1862877, 1224414, 1260768, 437480, 813804, 856813, 1416951, 1650423, 218366, 1698046, 375041, 1535745, 617732, 24839, 665353, 1213705, 625419, 1245449, 1955089, 473365, 27929, 193818, 157466, 1814303, 74017, 1443618, 468771, 2008865, 329001, 1090349, 1550125, 1671475, 739124, 355125, 1490743, 1849144, 1731385, 534341, 1626952, 1168201, 973132, 819535, 1747801, 555365, 1591142, 72039, 980340, 1921399, 1487355, 2020226, 1937797, 909192, 491403, 1580431, 1210768, 225697, 784290, 950190, 1807279, 1821103, 1931695, 1523122, 2017715, 709557, 1601462, 1693115, 1426879, 1455553, 1461186, 1174983, 752592, 916444, 348125, 1256414, 712671, 1044964, 1002469, 775656, 929258, 1915371, 1923562, 678381, 1409006, 1952748, 1496561, 1704948, 693238, 1959419, 487932}	794
Vander Cruyssen	 Mr. Victor	{1493509, 459782, 15367, 1914376, 996362, 1429514, 1527824, 397331, 748052, 586774, 326169, 370716, 350752, 287777, 202277, 396839, 456232, 729640, 916522, 891435, 910381, 689711, 1164335, 1443888, 6197, 184373, 392246, 166968, 242746, 2023995, 207938, 1628227, 531524, 1687619, 1847874, 644684, 651852, 1607758, 2008652, 788050, 556115, 1304151, 120920, 623704, 423002, 1124955, 1158235, 1432668, 1675361, 84066, 1133158, 138350, 829552, 1730673, 1251954, 223859, 502899, 500854, 1592441, 1664130, 1980547, 1391750, 957063, 1413769, 126090, 1559184, 1229969, 1323666, 1566865, 1740434, 58517, 1509528, 962715, 1918622, 39072, 1259683, 1638053, 1953959, 1090222, 936114, 178867, 1128636, 2042558, 489663, 59584, 2035905, 1082057, 443082, 1726666, 1314509, 820947, 2023123, 215767, 1916120, 233178, 38627, 34532, 1585380, 1631460, 1281258, 875244, 756466, 1997554, 1393398, 2011895, 435960, 719102, 375041, 925442, 1378563, 1535745, 218374, 1519366, 982281, 1890061, 608529, 1472274, 1762580, 157466, 329001, 1022762, 19755, 1732906, 1550125, 1787180, 656690, 1272626, 739124, 805173, 1671475, 1240375, 967480, 1802549, 2006835, 1013051, 260412, 1464124, 927554, 1623877, 411984, 842581, 1005398, 1501528, 200031, 792927, 1117023, 533346, 505699, 687463, 1970023, 528747, 4974, 1588590, 626033, 407413, 1945973, 1059706, 1244538, 104319, 282501, 1937797, 386956, 244622, 1580431, 1620882, 1255832, 94618, 1498522, 741789, 1307554, 679334, 267691, 1868211, 1693115, 1855422, 1225665, 847299, 162246, 762310, 1174983, 41932, 1812429, 28112, 603089, 1892304, 933336, 802779, 463838, 1256414, 116192, 1011680, 1543649, 1356775, 775656, 627177, 1071088, 986100, 1704948, 1862645, 1959417, 486394, 1331196}	873
Salonen	 Mr. Johan Werner	{1097217, 755203, 1493509, 1213958, 61448, 564746, 364559, 1527824, 304659, 586774, 1545246, 1077797, 729640, 1121324, 362541, 970797, 1801775, 105522, 1671219, 392246, 801846, 2023995, 1443900, 315458, 417346, 1090626, 1350212, 1687619, 1294921, 1951306, 644684, 788050, 1019895, 1746518, 960088, 1124955, 1432668, 223838, 1307743, 701029, 829552, 730739, 1215607, 1155712, 976005, 1413769, 1335949, 1229969, 1816726, 1315991, 1827990, 962715, 706205, 39072, 1852581, 1431723, 1839275, 554162, 995509, 246456, 302776, 1478328, 1150652, 2042558, 2035905, 1278153, 1726666, 1918154, 233178, 459998, 1609953, 34532, 120036, 1041637, 1631460, 955626, 1724653, 152815, 784629, 1393398, 2011895, 861944, 435960, 218366, 1535745, 151300, 310024, 1341708, 1506573, 608529, 943891, 157466, 1872668, 1147173, 329001, 1787180, 1550125, 572207, 739124, 805173, 501560, 260412, 1398590, 1647935, 927554, 1420617, 1485644, 1508686, 551249, 1875795, 1005398, 255834, 1263453, 200031, 792927, 26474, 157547, 528747, 477557, 1273207, 1408888, 1103227, 507773, 1087360, 1046916, 1937797, 615819, 1972623, 2040719, 1504150, 1466777, 244135, 981496, 1582000, 2002352, 1271218, 376243, 270774, 1739190, 1693115, 762310, 1174983, 1812429, 1892304, 1210833, 259541, 1581020, 1256414, 323040, 1176545, 1543649, 1994722, 775656, 1500136, 1822698, 1099243, 504300, 1244654, 1071088, 87027, 1704948, 592373, 988662, 37367, 1751544, 1110517, 1521659}	528
Windelov	 Mr. Einar	{211459, 273928, 319498, 170516, 120341, 306710, 586774, 1164312, 1114645, 296473, 1167388, 202277, 679462, 729640, 891435, 1357359, 6197, 442423, 1281594, 1958462, 335937, 1054785, 1570883, 1137220, 839749, 1503815, 1526862, 515664, 1907281, 788050, 1304151, 597084, 602206, 1443425, 1133158, 836717, 829552, 1804402, 951411, 1488511, 105599, 976005, 126090, 634510, 1229969, 1740434, 37015, 1492124, 357021, 1252003, 1446077, 1940673, 58562, 230086, 1070792, 1918154, 556236, 500431, 820947, 278228, 236757, 238805, 233178, 982248, 1643243, 875244, 1871089, 2014450, 711929, 1634046, 1535745, 1519366, 166155, 1559307, 1890061, 691473, 29472, 462114, 1550125, 433966, 1671475, 1013051, 574273, 1398085, 264008, 1539401, 1485644, 1442126, 1501528, 781149, 200031, 1117023, 687463, 1797993, 875883, 1588590, 808821, 1273207, 1408888, 1290617, 1244538, 1087360, 1951619, 713092, 1319306, 530830, 535950, 1580431, 472467, 91028, 1975704, 741789, 294305, 833953, 1457071, 2002352, 270774, 1693115, 1286086, 1174983, 41932, 1585105, 259541, 48600, 802779, 1256414, 775656, 1758700, 1564141, 1704948}	491
van Billiard	 Mr. Austin Blyler	{1695232, 144388, 319498, 996362, 550924, 1429514, 737298, 151060, 103957, 586774, 748052, 1713686, 818717, 1424414, 1556514, 794659, 202277, 456232, 729640, 878633, 293434, 69179, 784955, 1356860, 1468989, 2023995, 335937, 1137220, 1661508, 1530951, 899660, 1957453, 1162830, 1686608, 788050, 203350, 1402456, 1307228, 1432668, 602206, 875104, 398433, 1907297, 217700, 845412, 1501802, 1497198, 829552, 223859, 494195, 1273467, 1751166, 339074, 1697410, 1353862, 825993, 52362, 126090, 1413769, 1560719, 1229969, 1740434, 1463443, 1749139, 810141, 39072, 961697, 1492641, 429225, 762539, 165548, 744626, 1644214, 154298, 1143997, 2042558, 695487, 1940673, 58562, 2035905, 1895622, 2021886, 745673, 112330, 500426, 1547465, 1918154, 1091790, 187088, 433875, 1601748, 1925331, 233178, 117981, 1638112, 1271009, 402152, 1807083, 1258221, 861934, 1900782, 1997554, 1814773, 100090, 1760506, 1795323, 234237, 719102, 1535745, 1827585, 824070, 1646344, 1245449, 1107210, 625419, 609554, 750867, 1472274, 2008850, 170264, 27929, 157466, 1365787, 640284, 2003224, 29472, 462114, 1443618, 1708326, 329001, 465195, 1550125, 497966, 822067, 739124, 805173, 1671475, 577337, 260412, 1603902, 768831, 927554, 977732, 1032005, 802120, 1442126, 1151311, 1209171, 943444, 645973, 1005398, 1819478, 790360, 1816921, 1527131, 200031, 482655, 1070945, 1418591, 687463, 895848, 1345390, 1469296, 326513, 980340, 1652596, 1488759, 1921399, 839033, 1352057, 1983864, 1951619, 1023876, 1937797, 1313161, 711052, 1580431, 1620882, 992150, 834971, 1572763, 1678235, 517022, 1889186, 243114, 1277359, 1931695, 147378, 2017715, 1693115, 1114556, 540608, 162246, 393158, 1174983, 797641, 1286086, 1812429, 1576403, 1280468, 588798, 348125, 1281504, 1379297, 775656, 331755, 1246703, 1769968, 1553905, 1704948, 622589, 313854}	153
Nenkoff	 Mr. Christo	{1189379, 1493509, 98310, 1614342, 577544, 178703, 1049619, 1024533, 586774, 948766, 1592863, 350752, 1158176, 729640, 829997, 966190, 1749553, 537651, 392246, 69179, 1003579, 417346, 1687619, 2008652, 1607758, 788050, 1388116, 1746518, 1526359, 623704, 960088, 1740376, 1124955, 1884761, 1675361, 1907297, 550502, 1648745, 730739, 874614, 512641, 1949316, 2009220, 672902, 1091718, 323721, 1150090, 1335949, 883344, 1229969, 1638034, 1395859, 1987227, 1379489, 727717, 1581733, 1839275, 346289, 868022, 635065, 1856193, 540869, 1895622, 864458, 1081035, 658125, 523471, 2023123, 233178, 1260768, 1609953, 38627, 1631460, 633579, 152815, 1393398, 1698046, 375041, 437505, 1535745, 23300, 617732, 24839, 310024, 665353, 982281, 1213705, 81164, 1245449, 608529, 1955089, 193818, 157466, 1443618, 1773858, 1550125, 98095, 656690, 1092915, 1671475, 1719605, 1490743, 215352, 1731385, 534341, 1626952, 973132, 819535, 1088854, 1917785, 1313118, 200031, 505699, 82286, 625519, 1921399, 507773, 1644415, 2020226, 909192, 491403, 1580431, 1255832, 1307554, 950190, 1807279, 1821103, 1523122, 2017715, 1693115, 443837, 1426879, 1455553, 1461186, 620995, 1009605, 1174983, 1121241, 1256414, 1011680, 1543649, 1007588, 144358, 775656, 1923562, 1409006, 1704948, 1995769, 1959419}	223
Moore	 Mr. Leonard Charles	{849414, 1213958, 98310, 459782, 1886732, 235022, 1894417, 1499156, 120341, 586774, 962582, 1114645, 178715, 1167388, 1158176, 88097, 1567779, 1077797, 729640, 1672233, 1196085, 489534, 335937, 1350212, 1686608, 1907281, 788050, 1718355, 501332, 1402456, 486494, 602206, 1501802, 829552, 1804402, 106109, 1571972, 1353862, 957063, 1259656, 1358472, 126090, 1973386, 1216141, 634510, 57489, 322194, 1395859, 81044, 1740434, 1229969, 39072, 762539, 138930, 554162, 868022, 1644214, 1478328, 1150652, 1856193, 1156290, 508101, 1070277, 1308872, 1278153, 864458, 1886411, 1918154, 500431, 1601748, 1915096, 233178, 599770, 1026784, 1260768, 1145072, 706806, 1019131, 1664252, 961277, 375041, 1089282, 1535745, 1245449, 1735948, 943891, 2005271, 1206040, 591647, 909601, 143650, 1443618, 1147173, 1326888, 1550125, 433966, 572207, 1671475, 1165631, 1398085, 142152, 1626952, 1743177, 1857869, 1442126, 1508686, 1305424, 1877328, 121176, 1816921, 255834, 200031, 690528, 1526623, 1559393, 1970023, 1589609, 477034, 157547, 914293, 839033, 550267, 104319, 2020226, 1951619, 1055110, 386956, 1580431, 512403, 1504150, 807321, 834971, 1678235, 672670, 890783, 639396, 243114, 1043373, 1296304, 1610673, 709557, 337846, 325562, 474042, 1693115, 540608, 544707, 393158, 1174983, 328652, 1162188, 1337293, 55766, 446423, 456665, 1734108, 1256414, 907743, 721378, 1794022, 775656, 1500136, 150507, 1758700, 1553905, 1704948, 1521659}	121
